id,name,quantity,unit,price,clubcard_price,reduction_percent,absolute_savings
1815,Yeo Valley Organic Gut Health Kefir Strawberry,4100.0,g,2.5,1.5,40.0,1.0
1701,Light & Free Sticky Toffee Greek Style Fat Free Yoghurt 4x115g,4115.0,g,2.5,1.5,40.0,1.0
1927,Yeo Valley Organic Kefir Passion Fruit & Mango,4100.0,g,2.5,1.5,40.0,1.0
1569,"innocent Kids Super Smoothies Mangoes, Peaches, Apricots & Apples",4150.0,,4.1,2.5,39.0,1.6
2012,Innocent Kids Super Smoothie Blueberry,4150.0,ml,4.1,2.5,39.0,1.6
1193,"innocent Kids Super Smoothies Strawberries, Kiwis & Apples",4.0,x150ml,4.1,2.5,39.0,1.6
1102,Tesco Braised Beef & Mash,400.0,g,3.25,2.0,38.5,1.25
1202,Tesco Sweet Bbq Pulled Pork With Cheesy Mash,400.0,g,3.25,2.0,38.5,1.25
1334,Tesco Fish Pie 400G,400.0,g,3.25,2.0,38.5,1.25
1327,Tesco Cumberland Pie 400G,400.0,g,3.25,2.0,38.5,1.25
661,Tesco Cottage Pie,400.0,g,3.25,2.0,38.5,1.25
1322,Tesco Cumberland Pie 400G,400.0,g,3.25,2.0,38.5,1.25
1908,Tesco Spicy Beef Chilli & Rice 400G,400.0,g,3.25,2.0,38.5,1.25
1200,Tesco Shepherd's Pie,400.0,g,3.25,2.0,38.5,1.25
1286,"Tesco Liver, Bacon & Mash",400.0,g,3.25,2.0,38.5,1.25
2064,Tesco Mushroom Stroganoff & Rice,400.0,g,3.25,2.0,38.5,1.25
1610,Tesco Ham Hock In Mustard Sauce,400.0,g,3.25,2.0,38.5,1.25
1117,Tesco Toad In The Hole,340.0,g,3.25,2.0,38.5,1.25
959,Tesco Chicken Casserole & Dumplings,400.0,g,3.25,2.0,38.5,1.25
933,Tesco Minced Lamb Hotpot,400.0,g,3.25,2.0,38.5,1.25
782,Tesco Bangers & Mash 400G,400.0,g,3.25,2.0,38.5,1.25
612,Tesco Beef Casserole & Dumplings,400.0,g,3.25,2.0,38.5,1.25
978,Dairylea Lunchers Ham & Cheese Snacks,74.0,g,1.6,1.0,37.5,0.6
979,Dairylea Lunchers Chicken & Cheese Snacks,68.0,g,1.6,1.0,37.5,0.6
614,Muller Light Red Fruit Assorted Fat Free Yogurt,6.0,x140g,4.0,2.5,37.5,1.5
646,Heck Chicken 10 Italia Sausages,10.0,sausages,3.2,2.0,37.5,1.2
1354,Philadelphia Light Low Fat Soft Cream Cheese Snacks,126.0,g,2.0,1.25,37.5,0.75
859,Munch Bunch Double Up Strawberry Raspberry Kids Yoghurt Pots,4.0,x85g,2.0,1.25,37.5,0.75
1033,Munch Bunch Double Up Strawberry Banana Fromage Frais 4X85g,4.0,x85g,2.0,1.25,37.5,0.75
1119,Petits Filous Strawberry Lunchbox Kids Yoghurt Drink,4.0,x100g,2.4,1.5,37.5,0.9
457,Muller Corner Strawberry Peach & Apricot Yogurts,6.0,pack,4.0,2.5,37.5,1.5
844,Muller Light 0% Fat Vanilla Orange & Caramel Yogurt,6.0,x140g,4.0,2.5,37.5,1.5
1801,Yeo Valley No Added Sugar Kids Yogurts Selection,642.0,g,2.0,1.25,37.5,0.75
1048,Muller Light Fat Free Mango Psn/Fruit Peach Yogurt,840.0,g,4.0,2.5,37.5,1.5
193,Munch Bunch Double Up Fromage Frais Strawberry Vanilla 4 x 85g (340g),340.0,g,2.0,1.25,37.5,0.75
247,Muller Corner Vanilla & Banana Yogurts with Chocolate Balls & Flakes,6.0,x 124g,4.0,2.5,37.5,1.5
1878,Ginsters Chicken Tikka Slice,170.0,g,1.95,1.25,35.9,0.7
1513,Ginsters Festive Chicken & Stuffing Slice,170.0,g,1.95,1.25,35.9,0.7
860,Ginsters Peppered Steak Slice,170.0,g,1.95,1.25,35.9,0.7
1643,Ginsters Vegan Quorn Pasty,180.0,g,1.95,1.25,35.9,0.7
1063,Ginsters Chicken & Mushroom Slice 170G,1.0,170g,1.95,1.25,35.9,0.7
2082,Vivera Plant Chicken Breast,180.0,g,3.1,2.0,35.5,1.1
812,Flora Lighter Spread With Natural Ingredients 1KG,1.0,1kg,4.6,3.0,34.8,1.6
588,Flora Buttery Spread with Natural Ingredients 1KG,1.0,kg,4.6,3.0,34.8,1.6
1097,Walls 4 Hearty Sausage Rolls,220.0,g,1.9,1.25,34.2,0.65
1384,Smarties Split Pot Vanilla Flavour Yogurt,4107.0,g,2.65,1.75,34.0,0.9
2198,Gu Cheesecake Key Lime Pie,278.0,g,3.75,2.5,33.3,1.25
1462,Yeo Valley Organic Whole Milk Lemon Curd Yogurt,450.0,g,2.25,1.5,33.3,0.75
856,Tropicana Original Orange With Juicy Bits,900.0,ml,3.0,2.0,33.3,1.0
766,Tesco Pomegranates,,,1.5,1.0,33.3,0.5
2,Tropicana Smooth Orange Juice,900.0,ml,3.0,2.0,33.3,1.0
1238,Actimel Strawberry Blueberry Immunity Live Yoghurt Drink Multipack,12.0,x100g,4.5,3.0,33.3,1.5
433,Frubes Kids Strawberry Red Berry & Peach Kids Yoghurt Tubes Multipack 9x37g,333.0,g,2.25,1.5,33.3,0.75
1500,Tropicana Pressed Apple Juice,900.0,ml,3.0,2.0,33.3,1.0
1574,Tropicana Tropical Juice,850.0,ml,3.0,2.0,33.3,1.0
1179,Actimel Original Fat Free Immunity Live Yoghurt Drink Multipack,12.0,x100g,4.5,3.0,33.3,1.5
654,Frubes Strawberry Kids Yoghurt Tubes Multipack,9.0,,2.25,1.5,33.3,0.75
880,Rachel's Organic Divine Rice,2150.0,g,2.25,1.5,33.3,0.75
1727,Yeo Valley 0% Fat Vanilla Yogurt,450.0,g,2.25,1.5,33.3,0.75
1794,Gu Salted Caramel Cheesecake,292.0,g,3.75,2.5,33.3,1.25
1431,Yeo Valley Raspberry Yogurt,450.0,g,2.25,1.5,33.3,0.75
521,Rustlers All Day Breakfast Sausage Muffin 155G,1.0,unit,1.85,1.25,32.4,0.6
1307,Bonne Maman Creme Caramel Dessert 4x100g,4.0,x 100g,3.2,2.2,31.2,1.0
2220,Bonne Maman Creme Brulee Dessert,2100.0,g,3.2,2.2,31.2,1.0
1185,Tesco Lightly Dusted Haddock Fillets,255.0,g,3.95,2.75,30.4,1.2
487,Activia Cherry No Added Sugar Fat Free Gut Health Yoghurt Multipack,4.0,x115g,2.5,1.75,30.0,0.75
429,Activia Strawberry Gut Health Yoghurt Multipack 4x115g,460.0,g,2.5,1.75,30.0,0.75
586,Activia Peach No Added Sugar Fat Free Gut Health Yoghurt Multipack 4x115g,4115.0,g,2.5,1.75,30.0,0.75
485,Bertolli Original Spread,450.0,g,2.85,2.0,29.8,0.85
981,Bertolli Light,450.0,g,2.85,2.0,29.8,0.85
1113,Tesco British Chicken Drumsticks,1.0,kg,3.4,2.4,29.4,1.0
2250,Tesco Pepperoni Pasta Bake 750G,750.0,g,4.25,3.0,29.4,1.25
125,Clover Original Spread 500G,500.0,g,2.45,1.75,28.6,0.7
1534,Alpro Strawberry Dairy Free Soya Yoghurt Alternative 500g,500.0,g,2.1,1.5,28.6,0.6
1968,Alpro Barista Almond Long Life Dairy Free Drink,1.0,l,2.1,1.5,28.6,0.6
1605,Alpro Blueberry Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,28.6,0.6
1670,Alpro Barista Coconut Long Life Dairy Free Drink,1.0,l,2.1,1.5,28.6,0.6
818,Yollies Strawberry Yogurt 4 X25g,4.0,25g,1.75,1.25,28.6,0.5
323,Clover Light Spread,500.0,g,2.45,1.75,28.6,0.7
754,Dairylea Cheese Spread Triangles,815.6,g,1.75,1.25,28.6,0.5
1053,Alpro Vanilla Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,28.6,0.6
1120,Alpro Plain Natural Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,28.6,0.6
1042,Tesco Finest Shiitake Mushrooms,125.0,g,1.75,1.25,28.6,0.5
1022,Alpro Plain No Sugars Dairy Free Soya Yoghurt Alternative 500g,500.0,g,2.1,1.5,28.6,0.6
987,Alpro Greek Style Plain Dairy Free Yoghurt Alternative,400.0,g,2.1,1.5,28.6,0.6
1247,Alpro Plain Coconut Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,28.6,0.6
1394,Alpro Cherry Dairy Free Soya Yoghurt Alternative,500.0,g,2.1,1.5,28.6,0.6
1091,Tesco 2 Skinless & Boneless Basa Fillets,250.0,g,2.7,1.95,27.8,0.75
645,Tesco Finest Vintage Cheddar Cheese,300.0,g,4.0,2.9,27.5,1.1
807,Tesco Finest Extra Mature English Cheddar Cheese 350G,1.0,350g,4.0,2.9,27.5,1.1
1924,Tesco Finest Mature English Cheddar Cheese,350.0,g,4.0,2.9,27.5,1.1
1686,Gu-Zillionaire Cheesecakes 2 X91.5G,291.5,g,3.75,2.75,26.7,1.0
2045,Gu Inspirations Chocolate & Honeycomb Desserts,286.5,g,3.75,2.75,26.7,1.0
1749,Gu Chocolate Melting Middles,2.0,100g,3.75,2.75,26.7,1.0
2109,Higgidy Porcini Mushroom & Spinach Vegan Rolls,160.0,g,3.4,2.5,26.5,0.9
2251,Higgidy Vegetable Samosa Vegan Rolls 160G,160.0,g,3.4,2.5,26.5,0.9
250,Tesco Cheese & Garlic Flatbread,230.0,,1.9,1.4,26.3,0.5
822,Tesco Sunblush Tomato & Garlic Flatbread,235.0,,1.9,1.4,26.3,0.5
1025,Tesco Garlic & Rosemary Flatbread 220G,220.0,g,1.9,1.4,26.3,0.5
2105,Mighty Barista M.Lk Uht Drink,1.0,l,2.0,1.5,25.0,0.5
1351,Gressingham Aromatic Half Duck,570.0,g,8.0,6.0,25.0,2.0
1898,Yazoo Banana Milkshake,1.0,l,2.0,1.5,25.0,0.5
1188,Pukka Minced Beef & Onion Pie,1.0,,2.0,1.5,25.0,0.5
1007,Tesco Figs,,,2.0,1.5,25.0,0.5
1671,Alpro Oat Original Chilled Dairy Free Drink,1.0,l,2.0,1.5,25.0,0.5
1781,Ufit High Protein Milkshake White Chocolate Flavoured,330.0,ml,2.0,1.5,25.0,0.5
1599,Yazoo Strawberry Milkshake,1.0,litre bottle,2.0,1.5,25.0,0.5
624,Alpro Oat No Sugar Chilled Dairy Free Drink,1.0,litre,2.0,1.5,25.0,0.5
623,Pukka Chicken & Mushroom Pie,1.0,each,2.0,1.5,25.0,0.5
532,Alpro Almond No Sugar Chilled Dairy Free Drink,1.0,l,2.0,1.5,25.0,0.5
1052,Mattessons Smoked Pork Sausage Original,260.0,g,3.0,2.25,25.0,0.75
1486,Ufit High Protein Milkshake Drink Strawberry,330.0,ml,2.0,1.5,25.0,0.5
1746,Plenish Turmeric Defence Shot,60.0,ml,2.0,1.5,25.0,0.5
1453,Mul/Rce Strawberry & Original Low Fat Dessert,6.0,x170g,4.0,3.0,25.0,1.0
1608,Alpro Almond Original Chilled Dairy Free Drink,1.0,l,2.0,1.5,25.0,0.5
421,Lurpak Slightly Salted Spreadable Blend of Butter and Rapeseed Oil 400g,400.0,g,4.0,3.0,25.0,1.0
422,Lurpak Lighter Spreadable Butter Rapeseed Oil 400G,400.0,g,4.0,3.0,25.0,1.0
423,Lurpak Unsalted Spreadable Blend of Butter and Rapeseed Oil 400g,400.0,g,4.0,3.0,25.0,1.0
1194,"Pukka Veggie Cheese, Leek & Potato Pie",1.0,,2.0,1.5,25.0,0.5
802,Tesco Cranberries 250G,1.0,250g,2.0,1.5,25.0,0.5
1532,Yazoo Chocolate Milkshake 1 Litre Bottle,1.0,l,2.0,1.5,25.0,0.5
748,Pure Dairy Free Buttery Spread,500.0,g,2.0,1.5,25.0,0.5
254,Pukka All Steak Pie,,,2.0,1.5,25.0,0.5
2080,Bol Creamy Coconut Turmeric Daal Power Pot,450.0,g,3.25,2.45,24.6,0.8
2047,Bol Spanish Smoky Butter Bean Stew Power Pot,450.0,g,3.25,2.45,24.6,0.8
434,Vitalite Dairy Free Spread 500G,500.0,g,2.25,1.7,24.4,0.55
453,Dairylea Dunkers Jumbo Tubes Cheese Snacks,6.0,pack,3.3,2.5,24.2,0.8
1386,Dairylea Dunkers Ritz Cheese Snacks,643.0,g,3.3,2.5,24.2,0.8
1235,Tesco Beef Lasagne,1.5,kg,7.9,6.0,24.1,1.9
1717,Higgidy Spinach Feta Red Pepper Quiche,400.0,g,4.6,3.5,23.9,1.1
61,Tesco British Large Whole Chicken 1.5Kg - 1.9Kg,,kg,5.25,4.0,23.8,1.25
1490,The Laughing Cow Original Cheese Spread Triangles,16.0,pk,2.95,2.25,23.7,0.7
1080,The Laughing Cow Light Cheese Spread Triangles 16Pk 267G,16.0,267g,2.95,2.25,23.7,0.7
1796,Cawston Press Brilliant Beetroot Juice,1.0,l,3.0,2.3,23.3,0.7
531,Petits Filous Kids Strawberry & Raspberry Yoghurt Small Pots,6.0,x 47g,1.95,1.5,23.1,0.45
495,Petits Filous Kids Strawberry & Raspberry Yoghurt Big Pots,4.0,x85g,1.95,1.5,23.1,0.45
750,Dairylea Cheese Spread,145.0,g,1.95,1.5,23.1,0.45
580,Pilgrims Choice Mature Cheddar Cheese 550 G,550.0,g,5.2,4.0,23.1,1.2
530,Petits Filous Strawberry & Apricot Kids Yoghurt Big Pots 4x85g,4.0,units,1.95,1.5,23.1,0.45
1056,Petits Filous Strawberry & Banana No Added Sugar Kids Yoghurt Pots,282.0,g,1.95,1.5,23.1,0.45
507,Wall's Jumbo Sausages Roll 130G,1.0,unit,1.1,0.85,22.7,0.25
1112,ProActiv Light Spread,450.0,g,4.5,3.5,22.2,1.0
1389,Rustlers Bbq Pork Rib Sandwich,157.0,g,2.25,1.75,22.2,0.5
1014,ProActiv Buttery Taste Spread 450G,450.0,g,4.5,3.5,22.2,1.0
875,Benecol Buttery Spread,500.0,g,4.5,3.5,22.2,1.0
1797,Rustlers Southern Fried Chicken Sandwich,158.0,g,2.25,1.75,22.2,0.5
1077,Benecol Light Spread 500G,1.0,500g,4.5,3.5,22.2,1.0
1585,Plenish Organic Oat Longlife Dairy Free Drink,1.0,l,2.25,1.75,22.2,0.5
1590,Plenish Organic Oat Longlife Dairy Free Drink,1.0,l,2.25,1.75,22.2,0.5
2043,Vadasz Raw Kimchi,400.0,g,4.5,3.5,22.2,1.0
956,Rustlers Quarter Pounder Cheese Burger,190.0,g,2.25,1.75,22.2,0.5
1820,Higgidy Cheddar & Onion Veggie Rolls,160.0,g,3.2,2.5,21.9,0.7
1987,Rude Health Almond With Calcium Chilled Dairy Free Drink,1.0,l,2.3,1.8,21.7,0.5
2151,Rude Health Coconut With Calcium Chilled Dairy Free Drink,1.0,l,2.3,1.8,21.7,0.5
1279,Copella Apple Juice,1.35,l,3.5,2.75,21.4,0.75
1274,Copella Apple Juice,1.35,litre,3.5,2.75,21.4,0.75
1464,Copella Apple And Elderflower Juice,1.35,l,3.5,2.75,21.4,0.75
1714,Califia Farms Oat Barista Chilled Dairy Free Drink,1.0,l,2.1,1.65,21.4,0.45
1184,Tesco Basted Pork Loin Joint,800.0,g,7.0,5.5,21.4,1.5
1299,Tesco Chinese Leaf Each,1.0,each,1.4,1.1,21.4,0.3
2218,Mighty Pea M.Lk Unsweetened Milk Alternative,1.0,litre,1.9,1.5,21.1,0.4
1986,Tesco Finest 2 Yellow Fin Tuna Steaks,240.0,g,8.2,6.5,20.7,1.7
1456,The Vegetarian Butcher What the Cluck Vegan Chicken Chunks,160.0,g,3.15,2.5,20.6,0.65
200,Jaffa Orange,,,2.0,1.6,20.0,0.4
183,Tesco Finest 10 Traditional Pork Sausages 667G,667.0,g,5.0,4.0,20.0,1.0
431,ProActiv Buttery Taste Spread 250G,250.0,g,2.5,2.0,20.0,0.5
2041,"Tesco Gloucester Chive, Onion Truckle",100.0,g,1.25,1.0,20.0,0.25
1342,Tesco Finest Blueberries 150G,150.0,g,2.5,2.0,20.0,0.5
387,Le Rustique Pasteurised Camembert,250.0,g,3.0,2.4,20.0,0.6
1257,Simon Howie Black Pudding,240.0,g,1.5,1.2,20.0,0.3
885,Tesco Prawn Cocktail,170.0,g,2.5,2.0,20.0,0.5
1999,Alpro Caramel Dairy Free Vegan Soya Dessert,4125.0,g,1.85,1.5,18.9,0.35
1441,Alpro Vanilla Dairy Free Vegan Soya Dessert,4125.0,g,1.85,1.5,18.9,0.35
628,Tesco Finest 12 Beef & Herb Meatballs,12.0,meatballs,3.7,3.0,18.9,0.7
1542,Alpro Chocolate Dairy Free Vegan Soya Dessert,4125.0,g,1.85,1.5,18.9,0.35
1253,Alpro Dark Chocolate Dairy Free Vegan Soya Dessert,4125.0,g,1.85,1.5,18.9,0.35
460,Happy Egg Free Range Eggs Medium,6.0,pack,2.15,1.75,18.6,0.4
471,Tesco Boneless Half Salmon Side,500.0,g,9.2,7.5,18.5,1.7
1753,Abra Ca Debora Sweet Pancakes,6.0,"pack, 375 g",2.45,2.0,18.4,0.45
1429,Cauldron Foods Tofu Pieces,160.0,g,2.75,2.25,18.2,0.5
1177,Fage Total 5% Fat Greek Recipe Yogurt,950.0,g,5.5,4.5,18.2,1.0
2081,Cauldron Hoisin Tofu Pieces,160.0,g,2.75,2.25,18.2,0.5
1957,Peperami & Cheese Snack Box,50.0,g,1.65,1.35,18.2,0.3
143,Tesco 5 Cheese Selection 450G,450.0,g,5.5,4.5,18.2,1.0
499,Rodda's Clotted Cream,227.0,g,2.75,2.25,18.2,0.5
1635,Simon Howie Original Haggis,454.0,g,2.75,2.25,18.2,0.5
941,Fage Total 0%Fat Greek Recipe Yogurt,950.0,g,5.5,4.5,18.2,1.0
1111,Tesco Roast In The Bag Rotisserie Style Whole Chicken,1.5,kg,6.1,5.0,18.0,1.1
1000,Tesco Smoked Salmon,100.0,g,3.65,3.0,17.8,0.65
49,Tesco Braeburn Apple 5 Pack,5.0,each,1.7,1.4,17.6,0.3
2217,Tesco Sweet And Sour Chicken,400.0,g,4.25,3.5,17.6,0.75
1849,Squeaky Bean Ready To Eat Deli Pastrami Sandwich Slice 90G,90.0,g,2.85,2.35,17.5,0.5
1856,Squeaky Bean Ready To Eat Deli Pastrami Sandwich Slice,90.0,g,2.85,2.35,17.5,0.5
1078,Tesco Fish Pie Mix 340G,1.0,340g,4.65,3.85,17.2,0.8
1159,Tesco 2 Chocolate Choux Buns,2.0,each,1.75,1.45,17.1,0.3
139,Tesco Baby Corn 130G,130.0,g,1.2,1.0,16.7,0.2
337,Tesco Family Pack Chestnut Vitamin D Mushrooms,485.0,g,2.1,1.75,16.7,0.35
1423,Tesco Walnuts In Shell,350.0,g,3.0,2.5,16.7,0.5
2134,Tesco Finest Slow Cooked Whole Lamb Shoulder,1.78,kg,30.0,25.0,16.7,5.0
1883,Happy Monkey Milkshake Strawberry,3200.0,ml,1.2,1.0,16.7,0.2
266,Tesco Tenderstem Broccoli Spears,330.0,,2.4,2.0,16.7,0.4
1895,Tesco Fajita Cooked Chicken Breast Mini Fillets,170.0,g,3.0,2.5,16.7,0.5
1260,Happy Monkey Chocolate Milkshake,3200.0,ml,1.2,1.0,16.7,0.2
939,Tesco Finest Rump Steak,255.0,g,5.4,4.5,16.7,0.9
972,Tesco Chestnuts,400.0,g,3.0,2.5,16.7,0.5
535,Cathedral City Minis Mature Cheddar Cheese,6.0,x 20g,2.1,1.75,16.7,0.35
1331,Cathedral City Minis Mature Lighter Cheddar Cheese 6x20G,120.0,g,2.1,1.75,16.7,0.35
1192,Tropicana Pineapple Juice,850.0,ml,3.0,2.5,16.7,0.5
2104,Tesco Finest Unsmoked Wiltshire Cured Gammon Steaks,460.0,g,6.0,5.0,16.7,1.0
1452,Tesco Walnuts,225.0,g,3.0,2.5,16.7,0.5
1090,Tesco Mixed Nuts In Shell,350.0,g,3.0,2.5,16.7,0.5
971,Tesco Raspberries,250.0,g,2.9,2.45,15.5,0.45
1418,Tesco Finest Dry Cured Gammon Joint with a Muscovado Glaze 1kg (Serves 6),1.0,kg,13.0,11.0,15.4,2.0
75,Tesco British Chicken Breast Fillets,950.0,g,6.5,5.5,15.4,1.0
1945,Tesco Finest Belgian Chocolate Nut Tray,285.0,g,6.25,5.3,15.2,0.95
526,Tesco Finest Aberdeen Angus Steak Mince 500G,1.0,unit,5.0,4.25,15.0,0.75
770,Big & Free Large White Free Range Eggs,10.0,,3.35,2.85,14.9,0.5
550,Tesco Finest Sirloin Steak,227.0,g,6.1,5.2,14.8,0.9
420,Innocent Orange Juice Smooth 1.35 Litre,1.35,litre,4.1,3.5,14.6,0.6
1629,Innocent Apple & Mango Juice,1.35,litre,4.1,3.5,14.6,0.6
1074,Innocent Apple Juice 1.35 Litre,1.0,1.35l,4.1,3.5,14.6,0.6
1782,Innocent Summer Fruits Juice,1.35,l,4.1,3.5,14.6,0.6
1046,Innocent Orange Juice With Bits,1.35,litre,4.1,3.5,14.6,0.6
1145,Innocent Tropical Juice,1.35,litre,4.1,3.5,14.6,0.6
245,Tesco Sliced Roast Cooked Chicken Breast,180.0,,3.5,3.0,14.3,0.5
763,Tesco Watermelon,,,3.5,3.0,14.3,0.5
290,Trewithen Salted Block Butter,250.0,g,2.9,2.5,13.8,0.4
2101,Tesco Finest Billionaires Cheesecake,500.0,g,5.5,4.75,13.6,0.75
1951,Tesco Finest Madagascan Vanilla Cheesecake,540.0,g,5.5,4.75,13.6,0.75
1886,Tesco Finest Cheesecake Passion Fruit & Raspberry,540.0,g,5.5,4.75,13.6,0.75
1873,Tesco 4 Boneless Sea Bass Fillets,360.0,g,7.5,6.5,13.3,1.0
711,Tesco Medium Ripe & Ready Avocado,1.0,,0.75,0.65,13.3,0.1
283,Country Life Original Salted Spreadable,500.0,g,3.75,3.25,13.3,0.5
51,Tesco Blueberries 250G,250.0,g,2.65,2.3,13.2,0.35
2059,Simon Howie Premium Pork Sausages,300.0,g,2.3,2.0,13.0,0.3
1825,Tesco Finest Hickory Smoked Nut Selection,225.0,g,4.0,3.5,12.5,0.5
1448,Tesco Finest Salted Caramelised Nut Selection,225.0,g,4.0,3.5,12.5,0.5
465,Tesco French Brie,470.0,g,4.0,3.5,12.5,0.5
1974,Tesco Finest Maple Nut Selection,225.0,g,4.0,3.5,12.5,0.5
1933,Yeo Valley Organic 0% Fat Natural Yogurt,450.0,g,2.0,1.75,12.5,0.25
820,Yeo Valley Organic Natural Yogurt,450.0,,2.0,1.75,12.5,0.25
1380,Tesco Apple Crumble,500.0,g,4.0,3.5,12.5,0.5
1182,Tesco Finest Raw Jumbo King Prawns,165.0,g,4.0,3.5,12.5,0.5
2090,Tesco Finest Belgian Dark Chocolate Brazil Nuts,225.0,g,4.0,3.5,12.5,0.5
2100,Tesco Finest Salmon Wellington,795.0,g,16.0,14.0,12.5,2.0
2067,Tesco Finest Roasted Nut Selection With Sea Salt,225.0,g,4.0,3.5,12.5,0.5
1917,Tesco Finest Free Range Whole Chicken 1.9kg-2.3kg (Serves 5-6),,kg,12.5,11.0,12.0,1.5
1346,Tesco Maple & Bourbon Crackling Gammon Joint 2.8kg (Serves approx 13),2.8,kg,25.0,22.0,12.0,3.0
1236,Dickinson & Morris Large Melton Mowbray Pork Pie,440.0,g,4.25,3.75,11.8,0.5
2196,Heinz Seriously Good Vegan Mayonnaise,775.0,g,3.4,3.0,11.8,0.4
841,Tesco Chocolate Yule Log,720.0,,8.5,7.5,11.8,1.0
191,St Ewes 6 Medium Free Range Eggs,6.0,,2.2,1.95,11.4,0.25
2233,Tesco 2 Cape Hake Fillets,240.0,g,4.4,3.9,11.4,0.5
1395,Tesco 2 Lemon & Pepper Sea Bass Fillets 200G,200.0,g,4.5,4.0,11.1,0.5
1888,Tesco Finest Coffee & Amaretto Tiramisu,400.0,g,4.5,4.0,11.1,0.5
209,Tesco Mini Chicken Fillets,650.0,gram,5.0,4.45,11.0,0.55
482,Freshlay Golden Yolks Free Range Eggs,10.0,pack,4.1,3.65,11.0,0.45
520,Purely Organic Eggs Mixed Weight 10 Pack,10.0,units,4.6,4.1,10.9,0.5
553,Tesco Finest Cooked Jumbo King Prawns,150.0,g,4.2,3.75,10.7,0.45
184,Tesco Wensleydale Cranberry Cheese 200 G,200.0,g,2.8,2.5,10.7,0.3
549,Tesco Wensleydale & Apricot Cheese,200.0,g,2.8,2.5,10.7,0.3
1950,Charlie Bigham's Fish Pie,655.0,g,9.5,8.5,10.5,1.0
1684,Tesco Finest 2 Wild Caught Sockeye Salmon Fillets 230G,230.0,g,8.9,8.0,10.1,0.9
436,St Ewe Super Eggs,6.0,pack,2.5,2.25,10.0,0.25
1713,Tesco Finest Jumbo King Prawn Cocktail,430.0,g,8.0,7.2,10.0,0.8
1556,Tesco Finest Raspberry and Peach Bellini Trifle,780.0,g,10.0,9.0,10.0,1.0
44,Tesco Organic Fair Trade Bananas 5 Pack,5.0,each,1.5,1.35,10.0,0.15
